セクション,セクション_ja,項目,項目_ja,2026年モデル 2.0L インテリジェントハイブリッド 先進版,2026年モデル 2.0L インテリジェントハイブリッド 先進PLUS版,2026年モデル 2.0L インテリジェントハイブリッド 豪華版,2026年モデル 2.0L インテリジェントハイブリッド 豪華PLUS版,2026年モデル 2.0L インテリジェントハイブリッド プレミアム版,2026年モデル 2.0L CVT 快適版,2026年モデル 2.0L CVT 快適PLUS版,2026年モデル 2.0L CVT 豪華版,2026年モデル 2.0L CVT 豪華PLUS版,2024年モデル 2.0L インテリジェントハイブリッド 先進版,2024年モデル 2.0L インテリジェントハイブリッド 豪華版,2024年モデル 2.0L インテリジェントハイブリッド スポーツ版,2024年モデル 2.0L インテリジェントハイブリッド プレミアム版,2024年モデル 2.0L CVT エリートplus版,2024年モデル 2.0L CVT 先進plus版,2024年モデル 2.0L CVT 豪華版,2024年モデル 2.0L CVT スポーツ版,2024年モデル 2.0L CVT プレミアム版
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 7インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 7インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 7インチ,● 7インチ,● 7インチ,● 12.3インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 自動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 自動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 自動防眩目ミラー
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,○ （600元）,○ （600元）,○ （600元）,○ （600元）,○ （600元）,○ （600元）,○ （600元）,○ （600元）,○ （600元）,○ （600元）,○ （600元）,○ （600元）,○ （600元）,○,○ （600元）,○ （600元）,○ （600元）,○ （600元）
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席1個／後席2個,● 前席1個／後席2個,● 前席1個／後席2個,● 前席1個／後席2個,● 前席1個／後席2個,● 前席1個／後席2個,● 前席1個／後席2個,● 前席1個／後席2個,● 前席1個／後席2個,● 前席1個／後席2個,● 前席1個／後席2個,● 前席1個／後席2個,● 前席1個／後席2個,● 前席1個／後席2個,● 前席1個／後席2個,● 前席1個／後席2個,● 前席1個／後席2個,● 前席1個／後席2個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,● 前席,● 前席,● 前席,-,-,● 前席,● 前席,-,-,-,-,-,-,-,-,-
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,-,-,● 50W,● 50W,● 50W,-,-,● 50W,● 50W,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,座椅材质,シート素材,● ファブリック,● ファブリック,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● ファブリック,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革
座椅配置,シート装備,运动风格座椅,スポーツシート,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整・リクライニング調整・高さ調整（2方向）,● 前後調整・リクライニング調整・高さ調整（2方向）,● 前後調整・リクライニング調整・高さ調整（2方向）・ランバーサポート（2方向）,● 前後調整・リクライニング調整・高さ調整（2方向）・ランバーサポート（2方向）,● 前後調整・リクライニング調整・高さ調整（2方向）・ランバーサポート（2方向）,● 前後調整・リクライニング調整・高さ調整（2方向）・ランバーサポート（2方向）,● 前後調整・リクライニング調整・高さ調整（2方向）・ランバーサポート（2方向）,● 前後調整・リクライニング調整・高さ調整（2方向）・ランバーサポート（2方向）,● 前後調整・リクライニング調整・高さ調整（2方向）・ランバーサポート（2方向）,● 前後調整・リクライニング調整・高さ調整（2方向）,● 前後調整・リクライニング調整・高さ調整（2方向）・ランバーサポート（2方向）,● 前後調整・リクライニング調整・高さ調整（2方向）・ランバーサポート（2方向）,● 前後調整・リクライニング調整・高さ調整（2方向）・ランバーサポート（2方向）,● 前後調整・リクライニング調整・高さ調整（2方向）,● 前後調整・リクライニング調整・高さ調整（2方向）,● 前後調整・リクライニング調整・高さ調整（2方向）・ランバーサポート（2方向）,● 前後調整・リクライニング調整・高さ調整（2方向）・ランバーサポート（2方向）,● 前後調整・リクライニング調整・高さ調整（2方向）・ランバーサポート（2方向）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,-,-,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,-,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,-,-,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 6スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 6スピーカー,● 6スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 6スピーカー,● 6スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,-,● 64色,● 64色,● 64色,-,-,● 64色,● 64色,-,● 単色,● 単色,● 単色,-,-,● 単色,● 単色,● 単色
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調整方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,-,-,●,●,●,-,-,●,●,-,●,●,●,-,-,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,负离子发生器,マイナスイオン発生器,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-
颜色,カラー,外观颜色,外装色,クリスタルシルバー、インクブラック、プラチナパールホワイト ￥2000、ブラック/プラチナパールホワイト ￥4000、デザートゴールド、ブラック/デザートゴールド ￥2000、チタンスターブルー,クリスタルシルバー、インクブラック、プラチナパールホワイト ￥2000、ブラック/プラチナパールホワイト ￥4000、デザートゴールド、ブラック/デザートゴールド ￥2000、チタンスターブルー,クリスタルシルバー、インクブラック、プラチナパールホワイト ￥2000、ブラック/プラチナパールホワイト ￥4000、デザートゴールド、ブラック/デザートゴールド ￥2000、チタンスターブルー,クリスタルシルバー、インクブラック、プラチナパールホワイト ￥2000、ブラック/プラチナパールホワイト ￥4000、デザートゴールド、ブラック/デザートゴールド ￥2000、チタンスターブルー,クリスタルシルバー、インクブラック、プラチナパールホワイト ￥2000、ブラック/プラチナパールホワイト ￥4000、デザートゴールド、ブラック/デザートゴールド ￥2000、チタンスターブルー,クリスタルシルバー、インクブラック、プラチナパールホワイト ￥2000、デザートゴールド、チタンスターブルー,クリスタルシルバー、インクブラック、プラチナパールホワイト ￥2000、ブラック/プラチナパールホワイト ￥4000、デザートゴールド、ブラック/デザートゴールド ￥2000、チタンスターブルー,クリスタルシルバー、インクブラック、プラチナパールホワイト ￥2000、ブラック/プラチナパールホワイト ￥4000、デザートゴールド、ブラック/デザートゴールド ￥2000、チタンスターブルー,クリスタルシルバー、インクブラック、プラチナパールホワイト ￥2000、ブラック/プラチナパールホワイト ￥4000、デザートゴールド、ブラック/デザートゴールド ￥2000、チタンスターブルー,クリスタルシルバー、コーラルレッド、インクブラック、プラチナパールホワイト ￥2000、フローライトブルー、ブラック/プラチナパールホワイト ￥4000、ブラック/コーラルレッド、デザートゴールド、ルリゴールド、ブラック/ルリゴールド、ブラック/デザートゴールド,クリスタルシルバー、コーラルレッド、インクブラック、プラチナパールホワイト ￥2000、フローライトブルー、ブラック/プラチナパールホワイト ￥4000、ブラック/コーラルレッド、デザートゴールド、ルリゴールド、ブラック/ルリゴールド、ブラック/デザートゴールド,クリスタルシルバー、コーラルレッド、インクブラック、プラチナパールホワイト ￥2000、フローライトブルー、ブラック/プラチナパールホワイト ￥4000、ブラック/コーラルレッド、デザートゴールド、ルリゴールド、ブラック/ルリゴールド、ブラック/デザートゴールド,クリスタルシルバー、コーラルレッド、インクブラック、プラチナパールホワイト ￥2000、フローライトブルー、ブラック/プラチナパールホワイト ￥4000、ブラック/コーラルレッド、デザートゴールド、ルリゴールド、ブラック/ルリゴールド、ブラック/デザートゴールド,クリスタルシルバー、コーラルレッド、インクブラック、プラチナパールホワイト ￥2000、フローライトブルー、デザートゴールド、ルリゴールド,クリスタルシルバー、コーラルレッド、インクブラック、プラチナパールホワイト ￥2000、フローライトブルー、ブラック/プラチナパールホワイト ￥4000、ブラック/コーラルレッド、デザートゴールド、ルリゴールド、ブラック/ルリゴールド、ブラック/デザートゴールド,クリスタルシルバー、コーラルレッド、インクブラック、プラチナパールホワイト ￥2000、フローライトブルー、ブラック/プラチナパールホワイト ￥4000、ブラック/コーラルレッド、デザートゴールド、ルリゴールド、ブラック/ルリゴールド、ブラック/デザートゴールド,クリスタルシルバー、コーラルレッド、インクブラック、プラチナパールホワイト ￥2000、フローライトブルー、ブラック/プラチナパールホワイト ￥4000、ブラック/コーラルレッド、デザートゴールド、ルリゴールド、ブラック/ルリゴールド、ブラック/デザートゴールド,クリスタルシルバー、コーラルレッド、インクブラック、プラチナパールホワイト ￥2000、フローライトブルー、ブラック/プラチナパールホワイト ￥4000、ブラック/コーラルレッド、デザートゴールド、ルリゴールド、ブラック/ルリゴールド、ブラック/デザートゴールド
颜色,カラー,内饰颜色,内装色,スターリーブラック,スターリーブラック,スターリーブラック、ブラック/アイボリーホワイト,スターリーブラック、ブラック/アイボリーホワイト,スターリーブラック、ブラック/アイボリーホワイト,スターリーブラック,スターリーブラック,スターリーブラック、ブラック/アイボリーホワイト,スターリーブラック、ブラック/アイボリーホワイト,ブラック、ブラック/グレー,ブラック、ブラック/グレー、ブラック/ブラウン,ブラック、ブラック/ブラウン,ブラック、ブラック/グレー,ブラック、ブラック/グレー,ブラック、ブラック/グレー,ブラック、ブラック/グレー、ブラック/ブラウン,ブラック/ブラウン,ブラック、ブラック/グレー
选装包,オプションパッケージ,运动套件,スポーツキット,-,-,-,-,-,-,-,-,-,-,○ 含む：スポーティーな全周同色ボディキット、ハイグロスブラックフロントグリル、リアバンパーキット、シルバーメタリック装飾パーツ、スポーツスタイル専用デザインシート（オプション・価格未定）,-,-,-,-,○ 含む：スポーティーな全周同色ボディキット、ハイグロスブラックフロントグリル、リアバンパーキット、シルバーメタリック装飾パーツ、スポーツスタイル専用デザインシート（オプション・価格未定）,-,-
选装包,オプションパッケージ,运动套件,スポーツキット,-,-,-,-,-,-,-,-,-,○ 含む：スポーティーな全周同色ボディキット、ハイグロスブラックフロントグリル、リアバンパーキット、シルバーメタリック装飾パーツ（オプション・価格未定）,-,-,-,-,-,-,-,-
