セクション,セクション_ja,項目,項目_ja,2026年モデル 230Plus Huawei QianKun ADS SE版,2026年モデル 230Max Huawei QianKun ADS SE版,2026年モデル 230Ultra Huawei QianKun ADS SE版,2026年モデル 300Ultra Huawei QianKun ADS SE版,2026年モデル 550Max Huawei QianKun ADS SE版,2026年モデル 550Ultra Huawei QianKun ADS SE版,2025年モデル 215Plus Deep Blue Smart Drive AD PRO 増程版,2025年モデル 215Max Deep Blue Smart Drive AD PRO 増程版,2025年モデル 285Max Deep Blue Smart Drive AD PRO 増程版,2025年モデル 215Max Huawei QianKun Smart Drive ADS SE 増程版,2025年モデル 285Max Huawei QianKun Smart Drive ADS SE 増程版,2025年モデル 628Max Huawei QianKun Smart Drive ADS SE 純電版,2025年モデル 520Max Deep Blue Smart Drive AD PRO 純電版,2025年モデル 520Max Huawei QianKun Smart Drive ADS SE 純電版
屏幕/系统,ディスプレイ・システム,车机智能芯片,車載スマートチップ,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155
屏幕/系统,ディスプレイ・システム,后排控制多媒体,後席マルチメディア操作,-,-,●,●,-,●,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,车机系统内存(GB),車載システムメモリ(GB),● 24,● 24,● 24,● 24,● 24,● 24,● 16,● 16,● 16,● 16,● 16,● 16,● 16,● 16
屏幕/系统,ディスプレイ・システム,车机系统存储(GB),車載システムストレージ(GB),● 256,● 256,● 256,● 256,● 256,● 256,● 128,● 128,● 128,● 128,● 128,● 128,● 128,● 128
屏幕/系统,ディスプレイ・システム,多指飞屏操控,マルチタッチ画面操作,-,-,-,-,-,-,○,○,○,○,○,○,○,○
智能化配置,スマート機能装備,车联网,車載ネットワーク,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,"● ドア操作
● ウインドウ操作
● エンジン始動
● 充電管理
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車探し
● 点検／整備予約","● ドア操作
● ウインドウ操作
● エンジン始動
● 充電管理
● エアコン操作
● シートヒーター
● 車両状態確認／診断
● 車両位置特定／車探し
● 点検／整備予約","● ドア操作
● ウインドウ操作
● エンジン始動
● 充電管理
● エアコン操作
● シートヒーター
● 車両状態確認／診断
● 車両位置特定／車探し
● 点検／整備予約","● ドア操作
● ウインドウ操作
● エンジン始動
● 充電管理
● エアコン操作
● シートヒーター
● 車両状態確認／診断
● 車両位置特定／車探し
● 点検／整備予約","● ドア操作
● ウインドウ操作
● エンジン始動
● 充電管理
● エアコン操作
● シートヒーター
● 車両状態確認／診断
● 車両位置特定／車探し
● 点検／整備予約","● ドア操作
● ウインドウ操作
● エンジン始動
● 充電管理
● エアコン操作
● シートヒーター
● 車両状態確認／診断
● 車両位置特定／車探し
● 点検／整備予約","● ドア操作
● ウインドウ操作
● エンジン始動
● 充電管理
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車探し","● ドア操作
● ウインドウ操作
● エンジン始動
● 充電管理
● ライト操作
● エアコン操作
● シートヒーター
● 車両状態確認／診断
● 車両位置特定／車探し","● ドア操作
● ウインドウ操作
● エンジン始動
● 充電管理
● ライト操作
● エアコン操作
● シートヒーター
● 車両状態確認／診断
● 車両位置特定／車探し","● ドア操作
● ウインドウ操作
● エンジン始動
● 充電管理
● ライト操作
● エアコン操作
● シートヒーター
● 車両状態確認／診断
● 車両位置特定／車探し","● ドア操作
● ウインドウ操作
● エンジン始動
● 充電管理
● ライト操作
● エアコン操作
● シートヒーター
● 車両状態確認／診断
● 車両位置特定／車探し","● ドア操作
● ウインドウ操作
● エンジン始動
● 充電管理
● ライト操作
● エアコン操作
● シートヒーター
● 車両状態確認／診断
● 車両位置特定／車探し","● ドア操作
● ウインドウ操作
● エンジン始動
● 充電管理
● ライト操作
● エアコン操作
● シートヒーター
● 車両状態確認／診断
● 車両位置特定／車探し","● ドア操作
● ウインドウ操作
● エンジン始動
● 充電管理
● ライト操作
● エアコン操作
● シートヒーター
● 車両状態確認／診断
● 車両位置特定／車探し"
智能化配置,スマート機能装備,车载KTV,車載カラオケ,●,●,●,●,●,●,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ハンドル位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ハンドル,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,●,●,-,●,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピュータ表示画面,-,-,-,-,-,-,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,AR-HUD增强现实抬头显示,AR-HUD拡張現実ヘッドアップディスプレイ,-,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头尺寸,HUDヘッドアップサイズ,-,● 55インチ,● 55インチ,● 55インチ,● 55インチ,● 55インチ,● 55インチ,● 55インチ,● 55インチ,● 55インチ,● 55インチ,● 55インチ,● 55インチ,● 55インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電端子,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,● 前席,● 前席,● 前席,● 前席,● 前席,-,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,-,● 50W,● 50W,● 50W,● 50W,● 50W,-,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W
车内充电,車内充電設備,行李厢12V电源接口,トランク12V電源端子,-,-,-,-,-,-,●,●,●,●,●,●,●,●
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
○ レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
○ レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
○ レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
○ レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
○ レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
○ レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
○ レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
○ レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
○ レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
○ レッグレスト調整
● 腰部サポート（4方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● レッグレスト調整
● 腰部サポート（4方向）"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,主●／副●（エアバッグ）,主●／副●（エアバッグ）,主●／副●（エアバッグ）,主●／副●（エアバッグ）,主●／副●（エアバッグ）,主●／副●（エアバッグ）,主●／副●（エアバッグ）,主●／副●（エアバッグ）,主●／副●（エアバッグ）,主●／副●（エアバッグ）,主●／副●（エアバッグ）,主●／副●（エアバッグ）,主●／副●（エアバッグ）,主●／副●（エアバッグ）
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,"● シートヒーター
● ベンチレーション","● シートヒーター
● ベンチレーション
○ マッサージ
● マッサージ（助手席のみ）
● ヘッドレストスピーカー（運転席のみ）","● シートヒーター
● ベンチレーション
○ マッサージ
● マッサージ（助手席のみ）
● ヘッドレストスピーカー（運転席のみ）","● シートヒーター
● ベンチレーション","● シートヒーター
● ベンチレーション
○ マッサージ
● マッサージ（助手席のみ）
● ヘッドレストスピーカー（運転席のみ）",-,"● シートヒーター
● ベンチレーション
○ マッサージ
● マッサージ（助手席のみ）
● ヘッドレストスピーカー（運転席のみ）","● シートヒーター
● ベンチレーション
○ マッサージ
● マッサージ（助手席のみ）
● ヘッドレストスピーカー（運転席のみ）","● シートヒーター
● ベンチレーション
○ マッサージ
● マッサージ（助手席のみ）
● ヘッドレストスピーカー（運転席のみ）","● シートヒーター
● ベンチレーション
○ マッサージ
● マッサージ（助手席のみ）
● ヘッドレストスピーカー（運転席のみ）","● シートヒーター
● ベンチレーション
○ マッサージ
● マッサージ（助手席のみ）
● ヘッドレストスピーカー（運転席のみ）","● シートヒーター
● ベンチレーション
○ マッサージ
● マッサージ（助手席のみ）
● ヘッドレストスピーカー（運転席のみ）","● シートヒーター
● ベンチレーション
○ マッサージ
● マッサージ（助手席のみ）
● ヘッドレストスピーカー（運転席のみ）"
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,● 運転席,● 運転席,"● 運転席
● 助手席","● 運転席
● 助手席",● 運転席,"● 運転席
● 助手席",-,"● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席"
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後席調整ボタン,-,-,●,●,-,●,-,●,●,●,●,●,●,●
座椅配置,シート装備,第二排座椅调节,2列目シート調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,-,-,-,-,-,-,-,-
座椅配置,シート装備,零重力座椅,ゼログラビティシート,-,-,"○ 運転席
● 助手席","○ 運転席
● 助手席",-,"○ 運転席
● 助手席",-,"○ 運転席
● 助手席","○ 運転席
● 助手席","○ 運転席
● 助手席","○ 運転席
● 助手席","○ 運転席
● 助手席","○ 運転席
● 助手席","○ 運転席
● 助手席"
座椅配置,シート装備,后排座椅放倒形式,後部座席の倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前●／後●（エアバッグ）,前●／後●（エアバッグ）,前●／後●（エアバッグ）,前●／後●（エアバッグ）,前●／後●（エアバッグ）,前●／後●（エアバッグ）,前●／後（エアバッグ）,前●／後●（エアバッグ）,前●／後●（エアバッグ）,前●／後●（エアバッグ）,前●／後●（エアバッグ）,前●／後●（エアバッグ）,前●／後●（エアバッグ）,前●／後●（エアバッグ）
座椅配置,シート装備,后排杯架,後席カップホルダー,-,-,●,●,-,●,-,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 8スピーカー,● 8スピーカー,● 20スピーカー,● 20スピーカー,● 8スピーカー,● 20スピーカー,● 8スピーカー,● 14スピーカー,● 14スピーカー,● 14スピーカー,● 14スピーカー,● 14スピーカー,● 14スピーカー,● 14スピーカー
音响/车内灯光,オーディオ・室内照明,杜比全景声(Dolby Atmos),ドルビーアトモス,-,-,●,●,-,●,-,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,触摸式阅读灯,タッチ式読書灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,-,● 64色,● 64色,-,● 64色,-,● 64色,● 64色,● 64色,● 64色,● 64色,● 64色,● 64色
音响/车内灯光,オーディオ・室内照明,主动式环境氛围灯,アクティブアンビエントライト,-,-,●,●,-,●,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,热泵空调,ヒートポンプエアコン,-,-,-,-,●,●,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席用エアアウトレット,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別制御,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,○,○,-,○,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,负离子发生器,マイナスイオン発生器,-,-,○,○,-,○,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车载冰箱,車載冷蔵庫,-,-,○,○,-,○,-,-,-,-,-,-,-,-
颜色,カラー,外观颜色,外装色,–,–,–,–,–,–,–,–,–,–,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–,–,–,–,–,–,–,–,–,–,–
选装包,オプションパッケージ,20英寸运动轮毂套件,20インチスポーツホイールキット,-,○ オプション（2999元）,○ オプション（2999元）,○ オプション（2999元）,○ オプション（2999元）,○ オプション（2999元）,○ オプション（1999元）,○ オプション（1999元）,○ オプション（1999元）,○ オプション（1999元）,○ オプション（1999元）,○ オプション（1999元）,○ オプション（1999元）,○ オプション（1999元）
选装包,オプションパッケージ,悦享健康包,ヘルスケアパッケージ,-,-,○ オプション（1999元）,○ オプション（1999元）,-,○ オプション（1999元）,-,-,-,-,-,-,-,-
选装包,オプションパッケージ,主驾舒享包,運転席快適パッケージ,-,-,○ オプション（5999元）,○ オプション（5999元）,-,○ オプション（5999元）,-,-,-,-,-,-,-,-
选装包,オプションパッケージ,超感智享套件,スーパーセンスインテリジェントパッケージ,-,-,-,-,-,-,-,○ オプション（5999元）,○ オプション（5999元）,○ オプション（5999元）,○ オプション（5999元）,○ オプション（5999元）,○ オプション（5999元）,○ オプション（5999元）
