セクション,セクション_ja,項目,項目_ja,2025年モデル 4ドア版 進階モデル,2025年モデル 4ドア版 プレミアムモデル,2025年モデル 4ドア版 プレミアム＋モデル,2024年モデル 第3世代 120km,2024年モデル 第3世代 170km,2024年モデル 第3世代 215km ヤングモデル,2024年モデル 第3世代 215km 進階モデル,2022年モデル ライトモデル 三元リチウム,2022年モデル ライトモデル リン酸鉄リチウム,2022年モデル フリースタイルモデル 三元リチウム,2022年モデル フリースタイルモデル リン酸鉄リチウム,2022年モデル エンジョイモデル 三元リチウム,2022年モデル エンジョイモデル リン酸鉄リチウム,2022年モデル マカロンファッションモデル 三元リチウム,2022年モデル マカロンファッションモデル リン酸鉄リチウム,2022年モデル マカロンプレミアムモデル 三元リチウム,2022年モデル マカロンプレミアムモデル リン酸鉄リチウム,2022年モデル マカロンカラフルモデル 三元リチウム,2022年モデル マカロンカラフルモデル リン酸鉄リチウム,2022年モデル マカロンペイントモデル 三元リチウム,2022年モデル マカロンペイントモデル リン酸鉄リチウム,2022年モデル GAMEBOY 200km プレイモデル リン酸鉄リチウム,2022年モデル GAMEBOY 200km プレイヤーモデル リン酸鉄リチウム,2022年モデル GAMEBOY 300km プレイモデル リン酸鉄リチウム,2022年モデル GAMEBOY 300km プレイヤーモデル リン酸鉄リチウム,2022年モデル GAMEBOY 200km シティウィンド限定版,2022年モデル GAMEBOY 200km レースレンジャー限定版,2022年モデル GAMEBOY 300km シティウィンド限定版,2022年モデル GAMEBOY 300km レースレンジャー限定版,2022年モデル オープンカー版
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● モノクロ,● モノクロ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 7インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席3個,● 前席3個,● 前席3個,● 前席3個,● 前席3個,● 前席3個,● 前席3個,● 前席2個,● 前席2個,● 前席2個,● 前席2個,● 前席2個,● 前席2個,● 前席2個,● 前席2個,● 前席2個,● 前席2個,● 前席2個,● 前席2個,● 前席2個,● 前席2個,● 前席2個,● 前席2個,● 前席2個,● 前席2個,● 前席2個,● 前席2個,● 前席2個,● 前席2個,● 前席2個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,座椅材质,シート素材,● ファブリック,● ファブリック,● ファブリック,● ファブリック,● ファブリック,● ファブリック,● ファブリック,● ファブリック,● ファブリック,● ファブリック,● ファブリック,● ファブリック,● ファブリック,● ファブリック,● ファブリック,● ファブリック,● ファブリック,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● ファブリック,● 本革/ファブリックコンビ,● ファブリック,● 本革/ファブリックコンビ,● 本革/ファブリックコンビ,● 本革/ファブリックコンビ,● 本革/ファブリックコンビ,● 本革/ファブリックコンビ,● 合成皮革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,-
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,后排杯架,後席カップホルダー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 2スピーカー,● 2スピーカー,● 2スピーカー,● 2スピーカー,● 2スピーカー,● 2スピーカー,● 2スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 2スピーカー,● 2スピーカー,● 2スピーカー,● 2スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 2スピーカー,● 2スピーカー,● 2スピーカー,● 2スピーカー,● 2スピーカー,● 2スピーカー,● 2スピーカー,● 2スピーカー,● 4スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,-,-,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
颜色,カラー,外观颜色,外装色,スイートコーヒー バブルグリーン パフブルー ブラック/スイートコーヒー ホワイト/パフブルー ホワイト/バブルグリーン,スイートコーヒー バブルグリーン パフブルー,ブラック/スイートコーヒー ホワイト/パフブルー ホワイト/バブルグリーン,アボカドグリーン ホワイトピーチピンク ライトマンゴーイエロー ミルクアプリコットコーヒー アイリスブルー,アボカドグリーン ホワイトピーチピンク ライトマンゴーイエロー ミルクアプリコットコーヒー アイリスブルー,アボカドグリーン ホワイトピーチピンク ライトマンゴーイエロー ミルクアプリコットコーヒー アイリスブルー,アボカドグリーン ホワイトピーチピンク ライトマンゴーイエロー ミルクアプリコットコーヒー アイリスブルー,スターリーブルー ネビュラホワイト,スターリーブルー ネビュラホワイト,スターリーブルー ネビュラホワイト,スターリーブルー ネビュラホワイト,スターリーブルー ネビュラホワイト,スターリーブルー ネビュラホワイト,ホワイト/レモンイエロー ホワイト/アボカドグリーン ホワイト/ホワイトピーチピンク ブラック/レモンイエロー ブラック/アボカドグリーン ブラック/ホワイトピーチピンク アボカドグリーン ホワイトピーチピンク レモンイエロー ホワイト/ココナッツホワイト ココナッツホワイト ホワイト/メローブルー メローブルー ブラック/メローブルー ブラック/ココナッツホワイト,ホワイト/レモンイエロー ホワイト/アボカドグリーン ホワイト/ホワイトピーチピンク ブラック/レモンイエロー ブラック/アボカドグリーン ブラック/ホワイトピーチピンク アボカドグリーン ホワイトピーチピンク レモンイエロー ホワイト/ココナッツホワイト ココナッツホワイト ホワイト/メローブルー メローブルー ブラック/メローブルー ブラック/ココナッツホワイト,ホワイト/レモンイエロー ホワイト/アボカドグリーン ホワイト/ホワイトピーチピンク ブラック/レモンイエロー ブラック/アボカドグリーン ブラック/ホワイトピーチピンク アボカドグリーン ホワイトピーチピンク レモンイエロー ホワイト/ココナッツホワイト ココナッツホワイト ホワイト/メローブルー メローブルー ブラック/メローブルー ブラック/ココナッツホワイト,ホワイト/レモンイエロー ホワイト/アボカドグリーン ホワイト/ホワイトピーチピンク ブラック/レモンイエロー ブラック/アボカドグリーン ブラック/ホワイトピーチピンク アボカドグリーン ホワイトピーチピンク レモンイエロー ホワイト/ココナッツホワイト ココナッツホワイト ホワイト/メローブルー メローブルー ブラック/メローブルー ブラック/ココナッツホワイト,ブラック/ラベンダーパープル ブラック/ライムイエロー ホワイト/ライムイエロー ホワイト/ラベンダーパープル,ブラック/ラベンダーパープル ブラック/ライムイエロー ホワイト/ライムイエロー ホワイト/ラベンダーパープル,ブラック/ラベンダーパープル ブラック/ライムイエロー ホワイト/ライムイエロー ホワイト/ラベンダーパープル,ブラック/ラベンダーパープル ブラック/ライムイエロー ホワイト/ライムイエロー ホワイト/ラベンダーパープル,ハリケーンフェイズ（黒） ジャングルクロス（緑） スターリーローミング（白） パーティースイート（米色） 黒/ライムソーダ 黒/桜吹雪,ハリケーンフェイズ（黒） ジャングルクロス（緑） スターリーローミング（白） パーティースイート（米色） 黒/ライムソーダ 黒/桜吹雪,ハリケーンフェイズ（黒） ジャングルクロス（緑） スターリーローミング（白） パーティースイート（米色） 黒/ライムソーダ 黒/桜吹雪,ハリケーンフェイズ（黒） ジャングルクロス（緑） スターリーローミング（白） パーティースイート（米色） 黒/ライムソーダ 黒/桜吹雪,ハリケーンフェイズ（黒） ジャングルクロス（緑） スターリーローミング（白） パーティースイート（米色）,ハリケーンフェイズ（黒） ジャングルクロス（緑） スターリーローミング（白） パーティースイート（米色）,ハリケーンフェイズ（黒） ジャングルクロス（緑） スターリーローミング（白） パーティースイート（米色）,ハリケーンフェイズ（黒） ジャングルクロス（緑） スターリーローミング（白） パーティースイート（米色）,モダンブラック エメラルドグリーン スカイブルー
颜色,カラー,内饰颜色,内装色,キャラメルクリーム,キャラメルクリーム,キャラメルクリーム,ミルクトフィー ブラウニーブラック,ミルクトフィー ブラウニーブラック,ミルクトフィー ブラウニーブラック,ミルクトフィー ブラウニーブラック,黒/グレー,黒/グレー,黒/グレー,黒/グレー,黒/グレー,黒/グレー,黒/グレー アボカドグリーン 白桃ピンク レモンイエロー ココナッツホワイト メルローブルー,黒/グレー アボカドグリーン 白桃ピンク レモンイエロー ココナッツホワイト メルローブルー,黒/グレー アボカドグリーン 白桃ピンク レモンイエロー ココナッツホワイト メルローブルー,黒/グレー アボカドグリーン 白桃ピンク レモンイエロー ココナッツホワイト メルローブルー,黒/グレー,黒/グレー,黒/グレー,黒/グレー,黒/ザクロレッド 黒/アイスブルー ダークグレー/カーキ ダークグレー/ビビッドイエロー,黒/ザクロレッド 黒/アイスブルー ダークグレー/カーキ ダークグレー/ビビッドイエロー,黒/ザクロレッド 黒/アイスブルー ダークグレー/カーキ ダークグレー/ビビッドイエロー,黒/ザクロレッド 黒/アイスブルー ダークグレー/カーキ ダークグレー/ビビッドイエロー,黒/ザクロレッド 黒/アイスブルー ダークグレー/カーキ ダークグレー/ビビッドイエロー,黒/ザクロレッド 黒/アイスブルー ダークグレー/カーキ ダークグレー/ビビッドイエロー,黒/ザクロレッド 黒/アイスブルー ダークグレー/カーキ ダークグレー/ビビッドイエロー,黒/ザクロレッド 黒/アイスブルー ダークグレー/カーキ ダークグレー/ビビッドイエロー,黒/赤 黒/ライトグレー
选装包,オプションパッケージ,智能语音收放机,スマート音声オーディオ,-,-,-,-,-,-,-,-,-,-,-,-,-,○ 含む：音声操作、オンライン音楽、オンラインラジオ、オンラインエンタメ番組、ナビゲーション等 オプション（600元）,○ 含む：音声操作、オンライン音楽、オンラインラジオ、オンラインエンタメ番組、ナビゲーション等 オプション（600元）,○ 含む：音声操作、オンライン音楽、オンラインラジオ、オンラインエンタメ番組、ナビゲーション等 オプション（600元）,○ 含む：音声操作、オンライン音楽、オンラインラジオ、オンラインエンタメ番組、ナビゲーション等 オプション（600元）,-,-,-,-,-,-,-,-,-,-,-,-,-
